format,domain,n,name
cafe,maxcafe.jp,35,マックスカフェ 掛川店
cafe,profile.ameba.jp,35,リカモカカフェ
cafe,shop.tullys.co.jp,34,Tully's COFFEE &TEA
cafe,cafe-commeca.co.jp,33,カフェコムサ 静岡伊勢丹店
cafe,siscoffee.com,33,슬립리스인시애틀 문경시청점
cafe,theventi.co.kr,32,The Venti
cafe,sulbing.com,32,설빙 경기이천창전동
cafe,yanaka-coffeeten.com,32,やなか珈琲店
cafe,cafecompany.co.jp,31,WIRED CAFE
cafe,thecaffe.co.kr,31,더카페
cafe,www7b.biglobe.ne.jp,31,菊や
cafe,lupicia.com,31,LUPICIA
cafe,gourmet.yahoo.co.jp,30,台湾茶屋
cafe,chatnoir-company.com,29,カフェ ベローチェ 小田原ダイヤ街店
cafe,sakaicoffee.jp,29,さかい珈琲神戸北店
cafe,coffine.co.kr,29,커핀그루나루홍천점
cafe,nespresso.com,29,ネスプレッソブティック 大丸札幌店
cafe,lit.link,28,Nutstown Coffee Roasters
cafe,terarosa.com,28,테라로사 서귀포점
cafe,coffeenie.co.kr,28,커피니 남춘천역점
cafe,oozycoffee.com,28,Oozy Coffee
cafe,pearllady.jp,27,パールレディ
cafe,seabest.co.jp,27,シアトルズベストコーヒーAPA八千代緑が丘店
