pref,pref_code,cat,date,shop,addr,lat,lon,lat_i,lon_i
sapporo,01,コンビニ,2025-11-27,法人番号2010701019195株式会社ローソンローソン札幌南３条西一丁目店,札幌市中央区南三条西一丁目８番地１０ＣｏｎｎｅｃｔＳａｐｐｏｒｏ１階,43.056946,141.356705,10333,6617
sapporo,01,コンビニ,2025-11-01,大場公彦セブン-イレブン札幌月寒東１条６丁目店,札幌市豊平区月寒東一条六丁目１番２７号,43.032787,141.396149,10327,6623
sapporo,01,コンビニ,2025-11-05,法人番号1430001059743Ｐｉｃｔｕｒｅ株式会社ローソン札幌月寒中央八丁目店,札幌市豊平区月寒中央通八丁目２番１０号建物１階,43.028675,141.397324,10326,6623
sapporo,01,コンビニ,2025-11-16,法人番号8430001085279株式会社ＳＹＯセブン-イレブン札幌前田４条店,札幌市手稲区前田四条八丁目１番１号,43.119514,141.256058,10348,6600
sapporo,01,ドラッグ・薬局,2025-11-27,法人番号1430001010672株式会社ツルハツルハドラッグ南２０条店,札幌市中央区南二十条西十四丁目１番３２号,43.032951,141.338089,10327,6614
sapporo,01,コンビニ,2025-11-01,今良浩セブン-イレブン江別一番町店,江別市一番町３０番地１,43.10833,141.546021,10345,6647
sapporo,01,コンビニ,2025-11-06,福政憲セブン-イレブン札幌厚別東５条店,札幌市厚別区厚別東五条七丁目１２番１５号,43.053993,141.484955,10332,6637
sapporo,01,コンビニ,2025-11-06,法人番号7440002007471有限会社アールアンドシーローソン函館富岡赤川通店,函館市富岡町二丁目２２番１５号,41.800823,140.750259,10032,6520
sapporo,01,ドラッグ・薬局,2025-11-13,法人番号1430001010672株式会社ツルハツルハドラッグ鷹栖店,上川郡鷹栖町北一条二丁目７番３２号,43.847637,142.357056,10523,6777
sapporo,01,スーパー,2025-11-12,法人番号1460001000695株式会社三ッ輪商会業務スーパー旭川東光店,旭川市東光十六条五丁目３番２２号,43.739655,142.403885,10497,6784
sapporo,01,コンビニ,2025-11-27,法人番号9460102001338有限会社ささきセブン-イレブン更別店,河西郡更別村字更別南二線９５番地２０,42.658699,143.197174,10238,6911
sapporo,01,コンビニ,2025-11-01,法人番号9430003006587合同会社青柳商店セブン-イレブン岩見沢大和２条店,岩見沢市大和二条八丁目８番地１,43.187752,141.737579,10365,6678
sapporo,01,コンビニ,2025-11-01,大江絵梨ローソン苫小牧柏木町店,苫小牧市柏木町五丁目２番１０号,42.625637,141.524124,10230,6643
sapporo,01,コンビニ,2025-11-06,小出孝治セブン-イレブン苫小牧拓勇東町店,苫小牧市拓勇東町二丁目１７番２３号,42.669842,141.677017,10240,6668
sapporo,01,ドラッグ・薬局,2025-11-13,法人番号1430001010672株式会社ツルハツルハドラッグ苫小牧若草店,苫小牧市若草町一丁目７番１４号,42.640827,141.610077,10233,6657
shimane,32,コンビニ,2025-11-01,法人番号4280001007194株式会社Ｃｉｅｌｏａｚｕｌローソン益田駅前店,益田市駅前町23番地14,34.677216,131.838043,8322,5094
shizuoka,22,コンビニ,2025-11-05,長村竜之介セブン－イレブン静岡牛妻店,静岡市葵区牛妻714番地の1,35.069588,138.38121,8416,6140
shizuoka,22,コンビニ,2025-11-30,村松祥子ファミリーマート静岡瀬名川店,静岡市葵区瀬名川二丁目28番45号,35.006042,138.426895,8401,6148
shizuoka,22,コンビニ,2025-11-19,疋田遵弥セブン－イレブン湖西白須賀南店,湖西市白須賀425番地の2,34.679131,137.522949,8322,6003
shizuoka,22,コンビニ,2025-11-30,法人番号7080401011631株式会社ユーアンドエスファミリーマート浜松初生テクノロード店,浜松市中央区初生町500番地の1,34.76458,137.728119,8343,6036
shizuoka,22,コンビニ,2025-11-30,法人番号7080401011631株式会社ユーアンドエスファミリーマート浜松城北店,浜松市中央区城北一丁目7番10号,34.717216,137.724197,8332,6035
shizuoka,22,コンビニ,2025-11-11,法人番号2080401000705株式会社遠州日石セブン－イレブン浜松大柳店,浜松市中央区大柳町30番地の1,34.679947,137.754044,8323,6040
shizuoka,22,コンビニ,2025-11-01,法人番号4010001030181ミニストップ株式会社ミニストップ富士中島店,富士市中島105番地の1,35.166386,138.648621,8439,6183
